area_id,area_name,area_block
1,長野市,
2,松本市,
3,上田市,
4,岡谷市,
5,飯田市,
6,諏訪市,
7,須坂市,
8,小諸市,
9,伊那市,
10,駒ヶ根市,
11,中野市,
12,大町市,
13,飯山市,
14,茅野市,
15,塩尻市,
16,佐久市,
17,千曲市,
18,東御市,
19,安曇野市,
20,小海町,
21,川上村,
22,南牧村,
23,南相木村,
24,北相木村,
25,佐久穂町,
26,軽井沢町,
27,御代田町,
28,立科町,
29,青木村,
30,長和町,
31,下諏訪町,
32,富士見町,
33,原村,
34,辰野町,
35,箕輪町,
36,飯島町,
37,南箕輪村,
38,中川村,
39,宮田村,
40,松川町,
41,高森町,
42,阿南町,
43,阿智村,
44,平谷村,
45,根羽村,
46,下條村,
47,売木村,
48,天龍村,
49,泰阜村,
50,喬木村,
51,豊丘村,
52,大鹿村,
53,上松町,
54,南木曽町,
55,木祖村,
56,王滝村,
57,大桑村,
58,木曽町,
59,麻績村,
60,生坂村,
61,山形村,
62,朝日村,
63,筑北村,
64,池田町,
65,松川村,
66,白馬村,
67,小谷村,
68,坂城町,
69,小布施町,
70,高山村,
71,山ノ内町,
72,木島平村,
73,野沢温泉村,
74,信濃町,
75,小川村,
76,飯綱町,
77,栄村,
